review_id,product_name,review_text,sentiment
1,Kemeja Flanel,Pelayanan lambat dan tidak responsif saat dikomplain.,negatif
2,Case HP,"Puas banget belanja disini, proses cepat dan barang aman.",positif
3,Rice Cooker,"Terima kasih seller, barangnya awet dan sesuai deskripsi.",positif
4,Case HP,Warna produk berbeda jauh dari foto di listing.,negatif
5,Headset Bluetooth,"Terima kasih seller, barangnya awet dan sesuai deskripsi.",positif
6,Sepatu Sneakers,"Packing rapi, produk sesuai deskripsi. Recommended seller!",positif
7,Powerbank,Sudah bayar mahal tapi kualitas jauh dari ekspektasi.,negatif
8,Lampu LED,"Belanja disini selalu puas, kualitas terjaga.",positif
9,Botol Minum,"Bahan nyaman dipakai, ukuran pas, tidak mengecewakan.",positif
10,Kaos Polos,"Bahan nyaman dipakai, ukuran pas, tidak mengecewakan.",positif
11,Blender Mini,"Bahan nyaman dipakai, ukuran pas, tidak mengecewakan.",positif
12,Jaket Hoodie,"Bahan nyaman dipakai, ukuran pas, tidak mengecewakan.",positif
13,Rice Cooker,"Barang cacat produksi, jahitan lepas di beberapa bagian.",negatif
14,Lampu LED,"Barang yang datang tidak sesuai dengan foto, kecewa berat.",negatif
15,Case HP,Barang tidak berfungsi sama sekali begitu diterima.,negatif
16,Sepatu Sneakers,"Pengiriman lambat sekali, sudah dua minggu belum sampai.",negatif
17,Headset Bluetooth,"Pengiriman lambat sekali, sudah dua minggu belum sampai.",negatif
18,Jaket Hoodie,"Puas banget belanja disini, proses cepat dan barang aman.",positif
19,Kursi Lipat,"Produk original dan berfungsi dengan baik, terima kasih!",positif
20,Botol Minum,"Pelayanan cepat tanggap, produk berkualitas tinggi.",positif
21,Charger Cepat,"Sangat puas dengan pembelian ini, akan beli lagi di lain waktu.",positif
22,Sepatu Sneakers,"Sudah langganan di toko ini, kualitas selalu konsisten bagus.",positif
23,Botol Minum,"Respon cepat kalau ada pertanyaan, sangat membantu.",positif
24,Kaos Polos,Respon penjual lambat dan terkesan tidak peduli komplain.,negatif
25,Botol Minum,"Bahan murahan, tidak sesuai dengan harga yang dibayarkan.",negatif
26,Botol Minum,"Pengiriman lambat sekali, sudah dua minggu belum sampai.",negatif
27,Case HP,"Kualitas produk sangat memuaskan, akan order lagi.",positif
28,Case HP,"Sangat mengecewakan, uang saya seperti terbuang percuma.",negatif
29,Sandal Jepit,Pelayanan lambat dan tidak responsif saat dikomplain.,negatif
30,Kaos Polos,Sudah bayar mahal tapi kualitas jauh dari ekspektasi.,negatif
31,Case HP,"Ukuran dan warna berbeda dari pesanan, sangat kecewa.",negatif
32,Headset Bluetooth,"Produk original dan berfungsi dengan baik, terima kasih!",positif
33,Charger Cepat,"Kualitas produk jelek, baru dipakai sekali sudah rusak.",negatif
34,Sepatu Sneakers,"Kualitas produk jelek, baru dipakai sekali sudah rusak.",negatif
35,Kemeja Flanel,Barang tidak berfungsi sama sekali begitu diterima.,negatif
36,Rice Cooker,Respon penjual lambat dan terkesan tidak peduli komplain.,negatif
37,Lampu LED,"Pelayanan ramah dan responsif, barang sampai lebih cepat dari estimasi.",positif
38,Powerbank,Warna produk berbeda jauh dari foto di listing.,negatif
39,Case HP,"Kualitas produk jelek, baru dipakai sekali sudah rusak.",negatif
40,Charger Cepat,"Produknya rapi dan bersih, tidak ada cacat sama sekali.",positif
41,Rice Cooker,"Fast respon, pengiriman cepat, barang aman sampai tujuan.",positif
42,Charger Cepat,"Barangnya bagus banget, sesuai foto dan pengiriman cepat!",positif
